"GRAD_DEBT_MDN_SUPP","TUITFTE","CONTROL","TUITIONFEE_IN","TUITIONFEE_OUT","AVGFACSAL","INEXPFTE","INSTNM","OPEID","CCSIZSET","CCUGPROF","ADM_RATE","RELAFFIL","RET_FT4","RET_FTL4","RET_PT4","RET_PTL4","NPT4_PUB","NPT4_PRIV","NPT4_PROG","NPT4_OTHER","NPT41_PUB","NPT42_PUB","NPT43_PUB","NPT44_PUB","NPT45_PUB","NPT41_PRIV","NPT42_PRIV","NPT43_PRIV","NPT44_PRIV","NPT45_PRIV","NPT41_PROG","NPT42_PROG","NPT43_PROG","NPT44_PROG","NPT45_PROG","NPT41_OTHER","NPT42_OTHER","NPT43_OTHER","NPT44_OTHER","NPT45_OTHER","NPT4_048_PUB","NPT4_048_PRIV","NPT4_048_PROG","NPT4_048_OTHER","NPT4_3075_PUB","NPT4_3075_PRIV","NPT4_75UP_PUB","NPT4_75UP_PRIV","NPT4_3075_PROG","NPT4_3075_OTHER","NPT4_75UP_PROG","NPT4_75UP_OTHER","PAR_ED_PCT_1STGEN","PAR_ED_PCT_MS","PAR_ED_PCT_HS","PAR_ED_PCT_PS","INC_PCT_LO"
"PrivacySuppressed",7626,2,15630,15630,5638,9293,"Judson College",102300,7,8,0.7388,54,0.5974,NA,NA,NA,NA,17243,NA,NA,NA,NA,NA,NA,NA,15101,17186,20215,19308,19757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15779,NA,NA,NA,18371,NA,19504,NA,NA,NA,NA,"0.354285714","0.017142857","0.337142857","0.645714286","0.492537313"
"PrivacySuppressed",1576,1,4230,7590,6005,5705,"Lawson State Community College-Birmingham Campus",105900,3,2,NA,NA,NA,0.5251,NA,0.2403,7406,NA,NA,NA,7320,7672,8030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7376,NA,NA,NA,7754,NA,NA,NA,NA,NA,NA,NA,"0.457854406","0.033524904","0.424329502","0.542145594","0.835850556"
"22500",9161,1,7660,14170,6408,8898,"University of West Alabama",102400,13,8,0.9957,NA,0.5781,NA,0.5385,NA,13221,NA,NA,NA,12131,12490,15140,15656,15509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12204,NA,NA,NA,13761,NA,15605,NA,NA,NA,NA,NA,"0.440476191","0.017399267","0.423076923","0.55952381","PrivacySuppressed"
"PrivacySuppressed",1757,1,4170,7500,5629,5904,"Lurleen B Wallace Community College",898800,2,3,NA,NA,NA,0.5702,NA,0.3488,8041,NA,NA,NA,7829,8434,9604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7936,NA,NA,NA,8757,NA,NA,NA,NA,NA,NA,NA,"0.517694641","0.072800809","0.444893832","0.482305359","0.756872852"
"11500",2443,1,8570,14570,5909,6128,"Marion Military Institute",102600,1,4,0.6034,NA,NA,0.3811,NA,NA,11013,NA,NA,NA,7846,9737,11265,14048,14036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8476,NA,NA,NA,10501,NA,14042,NA,NA,NA,NA,NA,"0.257217848","PrivacySuppressed","0.254593176","0.742782152","0.396634615"
"36569",5101,2,11454,11454,4026,4921,"Miles College",102800,10,9,NA,55,0.5476,NA,0.25,NA,NA,15217,NA,NA,NA,NA,NA,NA,NA,14741,14369,17533,20393,18803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14676,NA,NA,NA,15528,NA,19757,NA,NA,NA,NA,"0.447284345","0.019968051","0.427316294","0.552715655","0.745956873"
"27000",10339,2,18690,18690,5024,6715,"University of Mobile",102900,10,11,0.7125,75,0.7727,NA,0,NA,NA,17970,NA,NA,NA,NA,NA,NA,NA,14149,18486,18698,18977,20397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16169,NA,NA,NA,18594,NA,19654,NA,NA,NA,NA,"0.385196375","0.018126888","0.367069486","0.614803625","PrivacySuppressed"
"23400",7161,1,10000,19690,7035,7719,"University of Montevallo",100400,10,10,0.8729,NA,0.7365,NA,0.6923,NA,15003,NA,NA,NA,12723,14312,15804,16885,17681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13253,NA,NA,NA,15065,NA,17219,NA,NA,NA,NA,NA,"0.374311927","0.019266055","0.355045872","0.625688073","0.415029889"
"11500",1338,1,4140,7470,6055,5013,"Northwest-Shoals Community College",569700,3,2,NA,NA,NA,0.5263,NA,0.3116,4678,NA,NA,NA,4021,5158,6514,8568,7336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4241,NA,NA,NA,5729,NA,8354,NA,NA,NA,NA,NA,"0.56462285","0.073224526","0.491398324","0.43537715","PrivacySuppressed"
"21750",6530,1,7078,12670,7152,6814,"University of North Alabama",101600,12,11,0.8092,NA,0.7079,NA,0.3333,NA,11476,NA,NA,NA,11270,11610,11706,11878,13357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11413,NA,NA,NA,11636,NA,11973,NA,NA,NA,NA,NA,"0.383194017","0.024197096","0.35899692","0.616805983","0.438271605"
